AppID,Status,Department,Gender,AcademicLevel,AcademicTerm,Age,Date,Month,ExamCentre,Scholarship,Requests,Month_Name,AgeGroup,Country,Lat,Long,Continent
56,D,French,M,BS,Spring,35,2020,3,3,T5,R,Mar,30-35,Pakistan,30.3753,69.3451,Asia
57,P,English,M,PHD,Fall,26,2020,4,2,T4,A,Apr,25-30,Pakistan,30.3753,69.3451,Asia
58,P,English,F,PHD,Fall,27,2020,4,1,T4,A,Apr,25-30,Pakistan,30.3753,69.3451,Asia
59,A,Urdu,M,PHD,Spring,23,2021,5,2,T3,R,May,18-24,Pakistan,30.3753,69.3451,Asia
60,A,Arabic,F,BS,Fall,30,2021,5,1,T2,R,May,25-30,Pakistan,30.3753,69.3451,Asia
61,A,Arabic,M,BS,Spring,34,2021,6,2,T1,P,Jun,30-35,Pakistan,30.3753,69.3451,Asia
62,A,Arabic,M,BS,Fall,29,2020,7,3,T1,A,Jul,25-30,Pakistan,30.3753,69.3451,Asia
63,D,Arabic,F,MS,Fall,30,2021,7,3,T2,R,Jul,25-30,Pakistan,30.3753,69.3451,Asia
64,P,Arabic,F,BS,Fall,21,2021,8,1,T3,R,Aug,18-24,Saudi Arabia,23.885942,45.079162,M.E
65,P,French,F,BS,Spring,35,2020,8,2,T2,A,Aug,30-35,Saudi Arabia,23.885942,45.079162,M.E
66,D,French,M,MS,Fall,38,2020,8,1,T1,R,Aug,35-40,Saudi Arabia,23.885942,45.079162,M.E
67,P,French,M,MS,Fall,37,2020,9,2,T5,A,Sep,35-40,Saudi Arabia,23.885942,45.079162,M.E
68,D,French,M,BS,Spring,21,2021,9,2,T4,R,Sep,18-24,Saudi Arabia,23.885942,45.079162,M.E
69,A,French,F,BS,Fall,20,2020,10,2,T4,R,Oct,18-24,Saudi Arabia,23.885942,45.079162,M.E
70,A,French,M,BS,Spring,36,2021,10,3,T3,R,Oct,35-40,Saudi Arabia,23.885942,45.079162,M.E
71,A,Urdu,M,BS,Spring,18,2021,11,3,T2,P,Nov,18-24,Saudi Arabia,23.885942,45.079162,M.E
72,A,Urdu,F,MS,Spring,34,2021,11,1,T1,A,Nov,30-35,Saudi Arabia,23.885942,45.079162,M.E
73,P,Urdu,F,MS,Spring,26,2021,12,1,T1,R,Dec,25-30,Saudi Arabia,23.885942,45.079162,M.E
74,D,Urdu,F,BS,Fall,19,2021,12,2,T2,A,Dec,18-24,Bangladesh,23.685,90.3563,Asia
75,P,Urdu,M,BS,Fall,20,2021,1,3,T3,A,Jan,18-24,Bangladesh,23.685,90.3563,Asia
76,D,English,M,BS,Spring,21,2021,1,3,T2,P,Jan,18-24,Bangladesh,23.685,90.3563,Asia
77,P,English,M,PHD,Fall,22,2021,1,1,T1,P,Jan,18-24,Bangladesh,23.685,90.3563,Asia
78,P,English,F,PHD,Fall,23,2021,2,2,T5,A,Feb,18-24,Turkey,38.9637,35.2433,Europe
79,A,English,M,PHD,Spring,24,2021,2,3,T4,R,Feb,18-24,Turkey,38.9637,35.2433,Europe
80,A,English,F,BS,Fall,25,2021,2,1,T4,R,Feb,18-24,Turkey,38.9637,35.2433,Europe
81,A,Arabic,M,BS,Spring,26,2021,3,1,T3,A,Mar,25-30,Turkey,38.9637,35.2433,Europe
82,A,Arabic,M,BS,Fall,27,2021,3,3,T2,R,Mar,25-30,Turkey,38.9637,35.2433,Europe
83,D,Arabic,F,MS,Fall,28,2021,3,2,T1,P,Mar,25-30,Turkey,38.9637,35.2433,Europe
84,P,Arabic,F,BS,Fall,29,2021,4,1,T1,P,Apr,25-30,Turkey,38.9637,35.2433,Europe
85,P,Arabic,F,BS,Spring,30,2021,4,3,T2,A,Apr,25-30,Turkey,38.9637,35.2433,Europe
86,D,Arabic,M,MS,Fall,31,2021,4,2,T3,R,Apr,30-35,Turkey,38.9637,35.2433,Europe
87,P,French,M,MS,Fall,32,2021,5,1,T2,R,May,30-35,Turkey,38.9637,35.2433,Europe
88,D,French,M,BS,Spring,33,2021,5,1,T1,A,May,30-35,Turkey,38.9637,35.2433,Europe
89,A,French,F,BS,Fall,34,2021,5,1,T5,R,May,30-35,Egypt,26.820553,30.802498,M.E
90,A,French,M,BS,Spring,24,2021,6,1,T4,A,Jun,18-24,Egypt,26.820553,30.802498,M.E
91,A,French,M,BS,Spring,18,2021,6,2,T4,R,Jun,18-24,Egypt,26.820553,30.802498,M.E
92,A,French,F,MS,Spring,28,2021,6,3,T3,R,Jun,25-30,Egypt,26.820553,30.802498,M.E
93,P,French,F,MS,Spring,18,2020,7,3,T2,P,Jul,18-24,Egypt,26.820553,30.802498,M.E
94,D,French,F,BS,Fall,19,2020,7,3,T1,A,Jul,18-24,Egypt,26.820553,30.802498,M.E
95,P,French,M,BS,Fall,20,2020,7,3,T1,R,Jul,18-24,Egypt,26.820553,30.802498,M.E
96,D,French,M,BS,Spring,21,2020,8,1,T2,R,Aug,18-24,Egypt,26.820553,30.802498,M.E
97,P,Urdu,M,PHD,Fall,22,2020,8,2,T3,A,Aug,18-24,Nigeria,9.082,8.6753,Africa
98,P,Urdu,F,PHD,Fall,23,2020,8,3,T2,P,Aug,18-24,Nigeria,9.082,8.6753,Africa
99,A,Urdu,M,PHD,Spring,24,2020,9,1,T1,P,Sep,18-24,Nigeria,9.082,8.6753,Africa
100,A,English,F,BS,Fall,25,2020,9,2,T5,A,Sep,18-24,Nigeria,9.082,8.6753,Africa
